code,pnns_groups_1,pnns_groups_2,countries_en,countriesgroups
1071894,Cereals and potatoes,Bread,United Kingdom,UKIRSC
5200016,Cereals and potatoes,Legumes,France,FrBeNeLux
10090206,Beverages,Non-sugared beverages,France,FrBeNeLux
27533048,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
40608754,Beverages,Sweetened beverages,France,FrBeNeLux
758,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
84154071,Fat and sauces,Dressings and sauces,Spain,SouthEU
87177756,Beverages,Sweetened beverages,France,FrBeNeLux
1373,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
3100,Fish Meat Eggs,Meat,France,FrBeNeLux
790310013,Sugary snacks,Sweets,Germany,Germans
790310020,Sugary snacks,Sweets,Germany,Germans
790310044,Sugary snacks,Sweets,United States,CaUS
8761,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
886100252,Beverages,Sweetened beverages,France,FrBeNeLux
104,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
11501,Beverages,Sweetened beverages,France,FrBeNeLux
11693,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
11815,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14816,Fat and sauces,Dressings and sauces,United States,CaUS
19170,Fruits and vegetables,vegetables,United Kingdom,UKIRSC
25157,Composite foods,Pizza pies and quiche,United States,CaUS
31858,Fruits and vegetables,Soups,France,FrBeNeLux
33046,Fish Meat Eggs,Meat,United Kingdom,UKIRSC
36559,Composite foods,One-dish meals,United States,CaUS
3866221,Alcoholic beverages,Alcoholic beverages,Reunion,AfricaSCI
41500007007,Fat and sauces,Dressings and sauces,United States,CaUS
4394,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
53327,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
54379,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
62114,Cereals and potatoes,Bread,United Kingdom,UKIRSC
62916,Milk and dairy products,Milk and yogurt,United States,CaUS
64491,Fat and sauces,Fats,United Kingdom,UKIRSC
7200000021,Fat and sauces,Dressings and sauces,Switzerland,Germans
76630,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
79150,Cereals and potatoes,Cereals,United States,CaUS
8077102146,Sugary snacks,Biscuits and cakes,United States,CaUS
88862,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
90780,Fat and sauces,Dressings and sauces,United States,CaUS
9138378043,Sugary snacks,Sweets,United States,CaUS
9542018054,Sugary snacks,Chocolate products,United States,CaUS
9542018061,Sugary snacks,Chocolate products,United States,CaUS
9542018085,Sugary snacks,Chocolate products,United States,CaUS
9800801107,Sugary snacks,Sweets,United States,CaUS
9800892204,Sugary snacks,Sweets,United States,CaUS
9800895007,Sugary snacks,Sweets,United States,CaUS
9800895250,Sugary snacks,Sweets,France,FrBeNeLux
10700021526,Sugary snacks,Sweets,United States,CaUS
10700024404,Sugary snacks,Chocolate products,United States,CaUS
10700088130,Sugary snacks,Sweets,United States,CaUS
10700531001,Sugary snacks,Sweets,United States,CaUS
107860,Salty snacks,Appetizers,France,FrBeNeLux
10852997489,Milk and dairy products,Milk and yogurt,United States,CaUS
108898,Cereals and potatoes,Cereals,France,FrBeNeLux
11110001207,Cereals and potatoes,Bread,United States,CaUS
11110001986,Cereals and potatoes,Bread,United States,CaUS
11110020109,Cereals and potatoes,Bread,United States,CaUS
11110372710,Salty snacks,Nuts,United States,CaUS
11110618825,Salty snacks,Nuts,United States,CaUS
11110673541,Sugary snacks,Sweets,United States,CaUS
11110802354,Fruits and vegetables,Vegetables,United States,CaUS
11110815330,Fruits and vegetables,Vegetables,United States,CaUS
11110816337,Fruits and vegetables,Vegetables,United States,CaUS
11110816405,Beverages,Non-sugared beverages,United States,CaUS
11110844965,Fruits and vegetables,Vegetables,United States,CaUS
11110847690,Cereals and potatoes,Legumes,United States,CaUS
11210000018,Fat and sauces,Dressings and sauces,United States,CaUS
11210115644,Fat and sauces,Dressings and sauces,Spain,SouthEU
11225033674,Cereals and potatoes,Bread,United States,CaUS
11535504734,Cereals and potatoes,Breakfast cereals,United States,CaUS
11594022026,Salty snacks,Appetizers,United States,CaUS
11594202107,Salty snacks,Appetizers,United States,CaUS
11645004315,Beverages,Non-sugared beverages,United States,CaUS
116954,Sugary snacks,Chocolate products,United Kingdom,UKIRSC
117746,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
12000039218,Beverages,Non-sugared beverages,United States,CaUS
12000041396,Beverages,Sweetened beverages,United States,CaUS
12000109416,Beverages,Sweetened beverages,United States,CaUS
12000110221,Beverages,Non-sugared beverages,United States,CaUS
12000130274,Beverages,Non-sugared beverages,United States,CaUS
12000215094,Beverages,Sweetened beverages,United States,CaUS
12000374012,Beverages,Fruit juices,United States,CaUS
12000813313,Beverages,Non-sugared beverages,United States,CaUS
120425,Fish Meat Eggs,Meat,United Kingdom,UKIRSC
120715,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
120920,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
121552,Fruits and vegetables,Vegetables,United States,CaUS
12511921064,Sugary snacks,Sweets,United States,CaUS
125628,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
125642,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
1.26E+12,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
126410,Cereals and potatoes,Cereals,United Kingdom,UKIRSC
13000008990,Fat and sauces,Dressings and sauces,United States,CaUS
130257,Sugary snacks,Sweets,United Kingdom,UKIRSC
132282,Fish Meat Eggs,Fish and seafood,United Kingdom,UKIRSC
13409000335,Fat and sauces,Dressings and sauces,United States,CaUS
13409341155,Fat and sauces,Dressings and sauces,Australia,AuNZ
13562000456,Cereals and potatoes,Cereals,United States,CaUS
13562300112,Cereals and potatoes,Cereals,United States,CaUS
13562303854,Salty snacks,Appetizers,United States,CaUS
13764027138,Cereals and potatoes,Bread,United States,CaUS
13935620236,Beverages,Sweetened beverages,France,FrBeNeLux
14054030715,Beverages,Fruit juices,United States,CaUS
14100042587,Sugary snacks,Biscuits and cakes,United States,CaUS
14100042631,Sugary snacks,Biscuits and cakes,United States,CaUS
14100070337,Cereals and potatoes,Bread,United States,CaUS
14100074038,Sugary snacks,Biscuits and cakes,United States,CaUS
14100074120,Sugary snacks,Biscuits and cakes,United States,CaUS
14100074359,Sugary snacks,Biscuits and cakes,United States,CaUS
14100074670,Cereals and potatoes,Bread,United States,CaUS
14100074724,Sugary snacks,Biscuits and cakes,United States,CaUS
14100074816,Sugary snacks,Biscuits and cakes,United States,CaUS
14100075226,Sugary snacks,Biscuits and cakes,United States,CaUS
14100077084,Sugary snacks,Biscuits and cakes,United States,CaUS
14100077121,Sugary snacks,Biscuits and cakes,United States,CaUS
14100078609,Sugary snacks,Biscuits and cakes,United States,CaUS
14100079477,Sugary snacks,Biscuits and cakes,United States,CaUS
14100079521,Sugary snacks,Biscuits and cakes,United States,CaUS
14100085393,Salty snacks,Appetizers,United States,CaUS
14100085485,Salty snacks,Appetizers,United States,CaUS
14100085508,Salty snacks,Appetizers,United States,CaUS
14100096979,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14100096986,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14100097006,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14100097013,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14100097037,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14100097068,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
14100098416,Sugary snacks,Biscuits and cakes,United States,CaUS
14100098423,Sugary snacks,Biscuits and cakes,United States,CaUS
14100099680,Salty snacks,Appetizers,France,FrBeNeLux
14113230018,Fruits and vegetables,Dried fruits,France,FrBeNeLux
14113911368,Salty snacks,Appetizers,France,FrBeNeLux
14113911672,Fruits and vegetables,Dried fruits,Belgium,FrBeNeLux
14113911719,Salty snacks,Appetizers,France,FrBeNeLux
14113912112,Salty snacks,Nuts,France,FrBeNeLux
14113912341,Salty snacks,Nuts,France,FrBeNeLux
14113912853,Salty snacks,Appetizers,France,FrBeNeLux
14113912860,Salty snacks,Nuts,France,FrBeNeLux
14113912938,Salty snacks,Nuts,France,FrBeNeLux
14113913782,Salty snacks,Nuts,France,FrBeNeLux
14402513747,Fish Meat Eggs,Meat,United Kingdom,UKIRSC
144353,Fat and sauces,Dressings and sauces,United Kingdom,UKIRSC
145442,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
14800925340,Beverages,Non-sugared beverages,United States,CaUS
14816001007,Fat and sauces,Dressings and sauces,France,FrBeNeLux
15000070014,Cereals and potatoes,Breakfast cereals,United States,CaUS
15000140069,Beverages,Non-sugared beverages,United States,CaUS
151269,Sugary snacks,Sweets,United Kingdom,UKIRSC
15509010009,Fish Meat Eggs,Meat,United Kingdom,UKIRSC
15800062110,Sugary snacks,Sweets,United States,CaUS
159111,Beverages,Non-sugared beverages,United Kingdom,UKIRSC
16000002043,Milk and dairy products,Cheese,France,FrBeNeLux
16000275058,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275119,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275263,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275287,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275294,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275324,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275348,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275645,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000275713,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000449763,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000483668,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000486249,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000487727,Cereals and potatoes,Cereals,United States,CaUS
16000487925,Cereals and potatoes,Cereals,United States,CaUS
16000487932,Cereals and potatoes,Breakfast cereals,United States,CaUS
16000487949,Cereals and potatoes,Breakfast cereals,United States,CaUS
16200334005,Sugary snacks,Sweets,United States,CaUS
16229000561,Fruits and vegetables,Fruits,France,FrBeNeLux
16229001919,Beverages,Non-sugared beverages,France,FrBeNeLux
16229004507,Beverages,Sweetened beverages,France,FrBeNeLux
16229005320,Beverages,Non-sugared beverages,France,FrBeNeLux
16229006099,Beverages,Non-sugared beverages,France,FrBeNeLux
16229006747,Beverages,Sweetened beverages,Netherlands,FrBeNeLux
163484,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
16468443372,Fish Meat Eggs,Fish and seafood,United States,CaUS
16571111137,Beverages,Non-sugared beverages,United States,CaUS
166010,Fish Meat Eggs,Eggs,United Kingdom,UKIRSC
168953,Sugary snacks,Biscuits and cakes,United Kingdom,UKIRSC
17000000480,Fat and sauces,Fats,France,FrBeNeLux
170529,Milk and dairy products,Cheese,United Kingdom,UKIRSC
172684,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
173759,Milk and dairy products,Milk and yogurt,United Kingdom,UKIRSC
17400106959,Cereals and potatoes,Cereals,United States,CaUS
174398,Salty snacks,Nuts,United Kingdom,UKIRSC
174411,Salty snacks,Nuts,United Kingdom,UKIRSC
3.70E+12,Alcoholic beverages,Alcoholic beverages,Cote d'Ivoire,AfricaSCI
178631,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
18000758463,Beverages,Sweetened beverages,United States,CaUS
180078,Sugary snacks,Sweets,United Kingdom,UKIRSC
180245,Cereals and potatoes,Cereals,United States,CaUS
180269,Sugary snacks,Sweets,United Kingdom,UKIRSC
180306,Sugary snacks,Sweets,United Kingdom,UKIRSC
180689,Cereals and potatoes,Breakfast cereals,United Kingdom,UKIRSC
181402,Milk and dairy products,Milk and yogurt,United Kingdom,UKIRSC
6.09E+12,Alcoholic beverages,Alcoholic beverages,Mauritius,AfricaSCI
18894126867,Cereals and potatoes,Legumes,United States,CaUS
18894303237,Milk and dairy products,Milk and yogurt,United States,CaUS
18894306016,Milk and dairy products,Cheese,United States,CaUS
18894360155,Cereals and potatoes,Cereals,United States,CaUS
19320015441,Sugary snacks,Biscuits and cakes,United States,CaUS
6.09E+12,Alcoholic beverages,Alcoholic beverages,Mauritius,AfricaSCI
20000108216,Fruits and vegetables,Vegetables,United States,CaUS
20100000069,Fish Meat Eggs,Fish and seafood,United States,CaUS
20100000083,Fish Meat Eggs,Fish and seafood,United States,CaUS
20100000212,Fish Meat Eggs,Fish and seafood,United States,CaUS
20100000465,Fish Meat Eggs,Fish and seafood,United States,CaUS
20200070061,Sugary snacks,Biscuits and cakes,United States,CaUS
203180,Fish Meat Eggs,Fish and seafood,United Kingdom,UKIRSC
20685000935,Salty snacks,Appetizers,France,FrBeNeLux
20685000959,Salty snacks,Appetizers,France,FrBeNeLux
20717102262,Fat and sauces,Dressings and sauces,France,FrBeNeLux
20735420959,Milk and dairy products,Ice cream,United States,CaUS
21000010875,Cereals and potatoes,Cereals,United States,CaUS
21000026326,Fat and sauces,Dressings and sauces,United States,CaUS
21000026494,Fat and sauces,Dressings and sauces,United States,CaUS
21000026791,Fat and sauces,Dressings and sauces,United States,CaUS
21000026876,Fat and sauces,Dressings and sauces,United States,CaUS
21000028245,Cereals and potatoes,Cereals,United States,CaUS
21000052325,Fat and sauces,Dressings and sauces,United States,CaUS
21000052349,Fat and sauces,Dressings and sauces,United States,CaUS
21000052387,Fat and sauces,Dressings and sauces,United States,CaUS
21000053155,Cereals and potatoes,Cereals,United States,CaUS
21000642731,Fat and sauces,Dressings and sauces,United States,CaUS
21000643462,Fat and sauces,Dressings and sauces,United States,CaUS
21000643615,Fat and sauces,Dressings and sauces,United States,CaUS
21000644735,Fat and sauces,Dressings and sauces,United States,CaUS
21000646050,Fat and sauces,Dressings and sauces,United States,CaUS
21000653218,Cereals and potatoes,Cereals,United States,CaUS
21000658930,Cereals and potatoes,Cereals,United States,CaUS
21000658978,Cereals and potatoes,Cereals,United States,CaUS
21000701476,Fat and sauces,Dressings and sauces,United States,CaUS
21130008124,Fat and sauces,Dressings and sauces,United States,CaUS
21130016495,Sugary snacks,Chocolate products,United States,CaUS
21130016631,Sugary snacks,Chocolate products,United States,CaUS
21130070664,Milk and dairy products,Milk and yogurt,United States,CaUS
21130075003,Beverages,Non-sugared beverages,United States,CaUS
21130079278,Milk and dairy products,Milk and yogurt,United States,CaUS
21130150991,Fat and sauces,Dressings and sauces,United States,CaUS
21130153503,Fish Meat Eggs,Processed meat,United States,CaUS
21130252626,Beverages,Sweetened beverages,United States,CaUS
21130254316,Beverages,Non-sugared beverages,United States,CaUS
21130314119,Beverages,Fruit juices,United States,CaUS
21130314300,Beverages,Fruit juices,United States,CaUS
21130316168,Beverages,Non-sugared beverages,United States,CaUS
21130480814,Fat and sauces,Dressings and sauces,United States,CaUS
21130493623,Fat and sauces,Dressings and sauces,United States,CaUS
21130494729,Fat and sauces,Dressings and sauces,United States,CaUS
21130512881,Fat and sauces,Fats,United States,CaUS
21248102196,Sugary snacks,Sweets,United States,CaUS
21357020138,Fish Meat Eggs,Processed meat,United States,CaUS
21357913447,Fish Meat Eggs,Processed meat,United States,CaUS
214036,Sugary snacks,Biscuits and cakes,United States,CaUS
21908509372,Sugary snacks,Chocolate products,United States,CaUS
21908812427,Salty snacks,Appetizers,United States,CaUS
22000011879,Sugary snacks,Sweets,United States,CaUS
22000015969,Sugary snacks,Sweets,United States,CaUS
22000159335,Beverages,Sweetened beverages,United States,CaUS
22000159359,Beverages,Non-sugared beverages,United States,CaUS
22135109649,Fish Meat Eggs,Meat,United Kingdom,UKIRSC
22314010018,Sugary snacks,Sweets,France,FrBeNeLux
22451011008,Milk and dairy products,Milk and yogurt,United States,CaUS
22506002357,Fat and sauces,Dressings and sauces,United States,CaUS
22506135635,Fat and sauces,Fats,United States,CaUS
226646,Composite foods,Pizza pies and quiche,United Kingdom,UKIRSC
8.69E+12,Alcoholic beverages,Alcoholic beverages,Mozambique,AfricaSCI
23100000220,Beverages,Non-sugared beverages,France,FrBeNeLux
23300400561,Salty snacks,Appetizers,United States,CaUS
236188,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
23627190046,Sugary snacks,Sweets,United States,CaUS
24000001645,Fruits and vegetables,Fruits,France,FrBeNeLux
24000003649,Fruits and vegetables,Fruits,Germany,Germans
24000010227,Fruits and vegetables,Fruits,France,FrBeNeLux
24000011859,Fruits and vegetables,Fruits,Denmark,NorthEU
24000024675,Fruits and vegetables,Fruits,Belgium,FrBeNeLux
24000031710,Cereals and potatoes,Cereals,United States,CaUS
24000100201,Fat and sauces,Dressings and sauces,France,FrBeNeLux
24000100546,Fruits and vegetables,Vegetables,France,FrBeNeLux
24000100911,Fruits and vegetables,Vegetables,France,FrBeNeLux
24000124962,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
24000146087,Fruits and vegetables,Fruits,Spain,SouthEU
24000160007,Fruits and vegetables,Fruits,France,FrBeNeLux
24000162957,Cereals and potatoes,Legumes,United States,CaUS
24000165002,Fruits and vegetables,Vegetables,France,FrBeNeLux
24000195252,Fruits and vegetables,Fruits,France,FrBeNeLux
24094070343,Cereals and potatoes,Cereals,United States,CaUS
24094070787,Cereals and potatoes,Cereals,United States,CaUS
24100122264,Salty snacks,Appetizers,United States,CaUS
24138012322,Fat and sauces,Dressings and sauces,United States,CaUS
24300041112,Sugary snacks,Biscuits and cakes,United States,CaUS
24300044311,Sugary snacks,Sweets,United States,CaUS
24463061163,Fat and sauces,Dressings and sauces,United States,CaUS
245838,Milk and dairy products,Cheese,United Kingdom,UKIRSC
25000056031,Beverages,Fruit juices,United States,CaUS
25293001237,Beverages,Non-sugared beverages,United States,CaUS
25600008195,Sugary snacks,Biscuits and cakes,United States,CaUS
25616102504,Beverages,Non-sugared beverages,Australia,AuNZ
25616202501,Beverages,Non-sugared beverages,Australia,AuNZ
25800022250,Composite foods,Pizza pies and quiche,United States,CaUS
263290,Cereals and potatoes,Bread,France,FrBeNeLux
26400227601,Milk and dairy products,Milk and yogurt,United States,CaUS
27000378953,Fruits and vegetables,Vegetables,United States,CaUS
27000379097,Fruits and vegetables,Vegetables,United States,CaUS
27000419021,Sugary snacks,Biscuits and cakes,United States,CaUS
27000488140,Salty snacks,Appetizers,United States,CaUS
27541007602,Beverages,Non-sugared beverages,United States,CaUS
27878419154,Sugary snacks,Sweets,France,FrBeNeLux
28000130008,Sugary snacks,Sweets,United States,CaUS
28000139902,Sugary snacks,Sweets,United States,CaUS
28000255664,Beverages,Non-sugared beverages,United States,CaUS
28000682309,Sugary snacks,Chocolate products,United States,CaUS
28000984434,Beverages,Fruit juices,United States,CaUS
281966,Fruits and vegetables,Fruits,United Kingdom,UKIRSC
283960,Beverages,Fruit juices,United Kingdom,UKIRSC
28400070980,Fat and sauces,Dressings and sauces,United States,CaUS
28400071345,Salty snacks,Appetizers,United States,CaUS
28400084468,Salty snacks,Appetizers,United States,CaUS
28400090896,Salty snacks,Appetizers,United States,CaUS
28400091510,Salty snacks,Appetizers,United States,CaUS
28400160148,Salty snacks,Appetizers,United States,CaUS
28400160209,Salty snacks,Appetizers,United States,CaUS
286565,Cereals and potatoes,Cereals,United States,CaUS
28700102718,Beverages,Fruit juices,United States,CaUS
29000016088,Salty snacks,Nuts,United States,CaUS
29212100100,Salty snacks,Nuts,United States,CaUS
29243050351,Cereals and potatoes,Cereals,United States,CaUS
29801025036,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
29839007875,Milk and dairy products,Ice cream,United States,CaUS
30000012109,Cereals and potatoes,Breakfast cereals,United States,CaUS
30000061411,Cereals and potatoes,Breakfast cereals,United States,CaUS
30000062111,Cereals and potatoes,Breakfast cereals,United States,CaUS
30000063019,Cereals and potatoes,Breakfast cereals,United States,CaUS
30000063545,Cereals and potatoes,Cereals,United States,CaUS
30000065310,Cereals and potatoes,Breakfast cereals,United States,CaUS
30100049111,Salty snacks,Appetizers,United States,CaUS
30100053149,Sugary snacks,Biscuits and cakes,United States,CaUS
30100506560,Cereals and potatoes,Bread,United States,CaUS
30223009764,Beverages,Non-sugared beverages,United States,CaUS
30304600323,Beverages,Fruit juices,United States,CaUS
3.28E+12,Alcoholic beverages,Alcoholic beverages,Reunion,AfricaSCI
306782,Fish Meat Eggs,Fish and seafood,United Kingdom,UKIRSC
31146022861,Cereals and potatoes,Cereals,United States,CaUS
31146030880,Cereals and potatoes,Cereals,United States,CaUS
31146150601,Cereals and potatoes,Cereals,United States,CaUS
311854,Sugary snacks,Biscuits and cakes,United States,CaUS
31200452016,Beverages,Sweetened beverages,United Kingdom,UKIRSC
3.28E+12,Alcoholic beverages,Alcoholic beverages,Reunion,AfricaSCI
31290718115,Sugary snacks,Chocolate products,France,FrBeNeLux
31506794322,Milk and dairy products,Cheese,United States,CaUS
31506934162,Milk and dairy products,Cheese,United States,CaUS
31535595105,Sugary snacks,Biscuits and cakes,United States,CaUS
31784989021,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
319980,Salty snacks,Nuts,France,FrBeNeLux
32000016170,Cereals and potatoes,Breakfast cereals,United States,CaUS
32000397187,Cereals and potatoes,Breakfast cereals,United States,CaUS
32134232248,Sugary snacks,Sweets,United States,CaUS
33383570051,Cereals and potatoes,Potatoes,United States,CaUS
33776100803,Cereals and potatoes,Legumes,United States,CaUS
34000052004,Sugary snacks,Chocolate products,United States,CaUS
34000114702,Sugary snacks,Sweets,United States,CaUS
34000171156,Sugary snacks,Chocolate products,United States,CaUS
34000290352,Sugary snacks,Chocolate products,United States,CaUS
34000441037,Sugary snacks,Chocolate products,France,FrBeNeLux
34000448609,Sugary snacks,Sweets,France,FrBeNeLux
34000449095,Sugary snacks,Sweets,France,FrBeNeLux
34856028949,Fruits and vegetables,Fruits,United States,CaUS
34856028963,Fruits and vegetables,Fruits,United States,CaUS
34876512183,Fat and sauces,Dressings and sauces,United States,CaUS
351546,Fat and sauces,Fats,United Kingdom,UKIRSC
35226031767,Fat and sauces,Dressings and sauces,United States,CaUS
356398,Beverages,Fruit juices,France,FrBeNeLux
35826075338,Fat and sauces,Dressings and sauces,United States,CaUS
35826076779,Fat and sauces,Dressings and sauces,United States,CaUS
35826087850,Fat and sauces,Dressings and sauces,United States,CaUS
35826087904,Fat and sauces,Dressings and sauces,United States,CaUS
35826088017,Fat and sauces,Dressings and sauces,United States,CaUS
359047,Fat and sauces,Dressings and sauces,United Kingdom,UKIRSC
36200013694,Fat and sauces,Dressings and sauces,United States,CaUS
36200014981,Fat and sauces,Dressings and sauces,United States,CaUS
36200219294,Fat and sauces,Dressings and sauces,United States,CaUS
36200219317,Fat and sauces,Dressings and sauces,United States,CaUS
36200223024,Fat and sauces,Fats,United States,CaUS
363037,Sugary snacks,Sweets,United Kingdom,UKIRSC
365482,Fruits and vegetables,vegetables,United Kingdom,UKIRSC
365925,Cereals and potatoes,Breakfast cereals,United States,CaUS
36632001078,Milk and dairy products,Milk and yogurt,United States,CaUS
36632002822,Milk and dairy products,Milk and yogurt,United States,CaUS
36632018724,Milk and dairy products,Milk and yogurt,United States,CaUS
36632028501,Milk and dairy products,Milk and yogurt,United States,CaUS
36632032935,Milk and dairy products,Milk and yogurt,United States,CaUS
36632036506,Milk and dairy products,Milk and yogurt,United States,CaUS
36778020582,Sugary snacks,Chocolate products,United States,CaUS
36830164506,Fish Meat Eggs,Meat,France,FrBeNeLux
37000184799,Salty snacks,Appetizers,Cuba,CaribSAme
37014242317,Sugary snacks,Chocolate products,Canada,CaUS
37466016450,Sugary snacks,Chocolate products,United States,CaUS
37466018287,Sugary snacks,Chocolate products,Australia,AuNZ
37466023427,Sugary snacks,Chocolate products,United States,CaUS
37466030890,Sugary snacks,Chocolate products,United States,CaUS
37466039411,Sugary snacks,Chocolate products,United States,CaUS
37466042695,Sugary snacks,Chocolate products,United States,CaUS
37466047263,Sugary snacks,Chocolate products,United States,CaUS
37466062150,Sugary snacks,Sweets,United States,CaUS
37466062266,Sugary snacks,Chocolate products,United States,CaUS
37466083247,Sugary snacks,Chocolate products,United States,CaUS
37466083315,Sugary snacks,Chocolate products,United States,CaUS
37600105002,Sugary snacks,Sweets,United States,CaUS
37600106009,Cereals and potatoes,Legumes,France,FrBeNeLux
37600106252,Cereals and potatoes,Legumes,United States,CaUS
37600106412,Sugary snacks,Sweets,France,FrBeNeLux
37600106863,Cereals and potatoes,Legumes,United States,CaUS
37600110754,Cereals and potatoes,Legumes,United States,CaUS
37600223324,Sugary snacks,Sweets,United States,CaUS
37617390248,Beverages,Fruit juices,France,FrBeNeLux
37983003001,Cereals and potatoes,Legumes,United States,CaUS
38000016219,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000045301,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000219344,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000219634,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000219931,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000391200,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000391224,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000596582,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000599217,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000599231,Cereals and potatoes,Breakfast cereals,United States,CaUS
38000787270,Cereals and potatoes,Breakfast cereals,United States,CaUS
38100212290,Cereals and potatoes,Breakfast cereals,United States,CaUS
38101009660,Fish Meat Eggs,Processed meat,United States,CaUS
381086,Fat and sauces,Dressings and sauces,United States,CaUS
385190,Fruits and vegetables,Vegetables,United Kingdom,UKIRSC
6.09E+12,Alcoholic beverages,Alcoholic beverages,Mauritius,AfricaSCI
5.30E+12,Alcoholic beverages,Alcoholic beverages,Israel,Arabic
38900014261,Fruits and vegetables,Fruits,France,FrBeNeLux
38900030483,Fruits and vegetables,Fruits,United States,CaUS
38900030995,Fruits and vegetables,Fruits,United States,CaUS
389815,Salty snacks,Appetizers,United States,CaUS
39047001312,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
39047011496,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
39047014909,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
39047153547,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
393027,Fat and sauces,Fats,United States,CaUS
39400018100,Cereals and potatoes,Legumes,United States,CaUS
39496001017,Milk and dairy products,Cheese,United States,CaUS
40000140924,Sugary snacks,Sweets,United States,CaUS
40000265252,Sugary snacks,Chocolate products,United States,CaUS
40000294764,Sugary snacks,Sweets,United States,CaUS
40000294801,Sugary snacks,Sweets,United States,CaUS
40000424314,Sugary snacks,Sweets,United States,CaUS
7.29E+12,Alcoholic beverages,Alcoholic beverages,Israel,Arabic
403139,Salty snacks,Appetizers,France,FrBeNeLux
40600221993,Fat and sauces,Fats,United States,CaUS
40600341226,Fat and sauces,Fats,United States,CaUS
40822012225,Fat and sauces,Dressings and sauces,United States,CaUS
41000009792,Fat and sauces,Dressings and sauces,United States,CaUS
41000082481,Cereals and potatoes,Cereals,United States,CaUS
411059,Salty snacks,Appetizers,France,FrBeNeLux
41129077627,Fat and sauces,Dressings and sauces,United States,CaUS
41129077634,Fat and sauces,Dressings and sauces,United States,CaUS
41129077641,Fat and sauces,Dressings and sauces,United States,CaUS
41130382239,Milk and dairy products,Cheese,United States,CaUS
41130386114,Salty snacks,Appetizers,United States,CaUS
41143029107,Fruits and vegetables,Dried fruits,United States,CaUS
41143128701,Fruits and vegetables,Dried fruits,United States,CaUS
41148813558,Milk and dairy products,Milk and yogurt,United States,CaUS
41151074816,Milk and dairy products,Cheese,United States,CaUS
41220032594,Sugary snacks,Chocolate products,United States,CaUS
41220927142,Cereals and potatoes,Legumes,United States,CaUS
41224182202,Fish Meat Eggs,Fish and seafood,United States,CaUS
