additives_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
5,356,1.5,0.3,15,9,0.4,3,0.1,0.039370079
6,174,0.1,0,6.2,4.9,1.3,3.2,0.15,0.059055118
7,883,20,12.2,8.1,2.5,0,0.3,0.5,0.196850394
4,903,15.5,9.9,16.9,12.1,0,2.5,0.089916,0.0354
7,1624,41,25.7,6.1,1.9,0,0.2,0.39878,0.157
8,1648,41,25.7,6.1,1.9,0,0.2,2.54,1
7,883,20,12,8.1,2.5,0,0.3,2,0.787401575
6,350,5,,6.6,,,3.1,,
,3060,82,53,0.8,0.3,0,0.7,0.0508,0.02
0,2982,80,52,0.7,0.3,0,0.6,2.032,0.8
8,1624,41,25.7,6.1,1.9,0,0.2,0.508,0.2
6,326,4.3,2.9,6.5,4.3,0.4,3.1,0.13,0.051181102
7,593,12,8,5.8,3.9,0.4,2.8,0.11,0.043307087
6,597,12,,6.2,,,2.8,,
3,428,6.1,,8.3,,,3.6,,
3,410,7,4.6,6.1,3.7,,2.3,0.16,0.062992126
0,1308,33,21.1,2.9,2.9,,2.2,0.089916,0.0354
2,2268,60,39,1.5,1.5,,1.3,0.07,0.027559055
4,427,3.2,2,15.1,13.5,0,3.1,0.11,0.043307087
0,3060,82,53,0.8,0.8,,0.7,0.050038,0.0197
0,3060,82,53,0.8,0.8,,0.7,0.050038,0.0197
0,269,3.6,2.2,4.8,4.8,,3.2,0.13,0.051181102
,2982,80,52,0.7,0.7,0,0.6,2.5,0.984251969
0,487,0.5,0.5,26,20,2,0.6,0.05,0.019685039
0,,,,,26,,,,
8,710,11,1.39,1,0.4,1.8,16,1.06,0.417322835
0,562,10,7,4.5,4,0,6,0.38,0.149606299
0,281,3.7,2.5,5,4.8,,4.4,0.13,0.051181102
,1765,14.1,6.71,60.1,16.9,8.75,8.9,1.4986,0.59
6,1821,23.36,12.55,57.6,0.96,5.47,6.38,0.1524,0.06
1,1385,0,0,72,20,11,4.3,7.1,2.795275591
6,1933,21,8.7,65,0,4,8.1,0.02,0.007874016
1,64,0.01,,3,,,0.5,,
2,825,12.5,2.1,2.4,0.9,,18.9,2.05,0.807086614
1,759,11.5,1.5,2,0.7,,17.6,3.88,1.527559055
,403,2.9,1.9,13.8,13.6,,3.5,0.1,0.039370079
2,642,8.2,5.3,16,16,1.1,3.4,0.1,0.039370079
2,440,2.5,1.6,17,16,0.3,3.3,0.14,0.05511811
2,464,2.1,0.6,18.2,15.8,2.2,3.5,0.1016,0.04
2,360,2.5,1.6,12,12,0.7,3.4,0.15,0.059055118
4,601,7.1,4.3,17,13,0.2,2.8,0.11,0.043307087
3,455,2.9,1.9,17.3,15.1,0.5,3,0.12,0.047244094
,,,,15,,,,,
3,582,7.3,5.1,15,15,0.2,3.1,0.1,0.039370079
3,560,6,3.9,16.3,15.8,0.22,3.5,0.08,0.031496063
4,343,1.2,0.7,16.1,12.6,0.09,1.7,0.12,0.047244094
,579,7.3,5.1,15,15,0.2,3.1,0.1,0.039370079
2,324,1.7,0.3,11.6,10.5,1.4,3.1,0.0762,0.03
0,264,3.5,2.2,4.3,4.3,0,3.7,0.13,0.051181102
0,306,0.7,0.5,13.6,13.6,0.05,2.8,0.09,0.035433071
8,447,2.9,1.9,16.3,15,0.15,3.6,0.15,0.059055118
,505,5.5,3.7,15.5,13.7,,2.6,0.23,0.090551181
0,271,3,2,5.5,3.8,0.1,3.9,0.1016,0.04
3,408,2.4,1.6,15,14,0.8,3.4,0.150114,0.0591
7,1182,12,9.8,36,22,2,3.7,0.28,0.11023622
4,408,2.6,1.6,15,15,0.1,3.3,0.15,0.059055118
,870,13,8.6,20,19,1.5,2.2,0.13,0.051181102
8,848,13,,18,17,1.2,3,0.22,0.086614173
3,555,5.6,3.7,18,10,0.1,2.4,0.1,0.039370079
7,831,12,8,19,17,1.6,3,0.1,0.039370079
2,471,2.1,0.6,18.6,15.8,2.2,3.5,0.1016,0.04
4,326,1.6,0.3,12,10.8,1.3,3.1,0.0762,0.03
4,326,1.7,0.3,11.7,10.6,1.4,3.1,0.0762,0.03
2,174,2.1,0.4,1.3,0.4,1.2,3.8,0.0762,0.03
5,587,5.2,3.4,19.4,17.2,1.1,3.3,0.05,0.019685039
1,387,0.8,0.5,17.8,15.7,0.7,2.9,0.13,0.051181102
8,456,2.9,1.9,18.2,16.8,,2.2,0.13,0.051181102
1,665,6.6,4.3,14.1,13.9,,10.2,0.38,0.149606299
5,426,2.7,1.8,13.1,12.8,,6.1,0.1,0.039370079
3,907,7.9,5.3,31,22,0.7,4.8,0.29,0.114173228
4,422,2.3,1.5,12.8,12.1,0.4,6.8,0.1,0.039370079
4,673,7.1,4.6,21,19,1.7,3.1,0.150114,0.0591
4,373,2.4,1.6,13,13,0.9,3.3,0.14,0.05511811
0,565,6.4,,18.6,,,4.9,,
4,2125,25,14,62,25,3.6,7.1,0.9906,0.39
1,1339,1,0,80,55,3,1,0,0
1,1360,1,0,80,55,3,1,0,0
1,371,0.1,,0.1,,,21.6,,
0,628,1.25,,29.7,,,5,,
3,872,9.6,,16.25,,,14.15,,
1,62,0.1,,2.5,,,0.9,,
0,484,2.7,0.8,15.7,3.5,3.1,6.9,0.635,0.25
6,364,1.8,1,12.9,1.9,2.2,4.4,0.508,0.2
1,484,2.7,0.8,16,3.5,3.1,6.9,0.63,0.248031496
1,254,2.2,0.3,7.9,6.6,,1.4,0.55,0.216535433
2,304,2.8,1.9,7.2,1.9,1.3,4.6,0.43,0.169291339
1,422,2.6,1.2,10.7,1.4,1.1,8.7,0.5334,0.21
2,425,2.4,0.9,15,2.8,0.8,5.2,0.73,0.287401575
5,925,17.8,5.8,4.4,0.7,,11.3,2.10058,0.827
6,927,17.2,6.4,8.4,0.9,,8.8,2,0.787401575
5,925,17.8,5.8,4.4,0.7,,11.3,2.1,0.826771654
7,507,6.4,2.1,6.2,2.1,,9.7,2.2,0.866141732
8,400,1.4,0.5,0.8,0,,18.8,2.1,0.826771654
9,489,5.5,2.4,3.6,0,,13.2,2.2,0.866141732
7,418,1,,2.4,,,19.6,2.1,0.826771654
7,418,1,,2.4,,,19.6,2.1,0.826771654
3,556,0,0,32.6,1,,0.1,0.3,0.118110236
2,1647,1.5,0.8,83.5,24,4.5,8,0.38,0.149606299
0,1586,3.4,0.4,71,6,7,12,0.9906,0.39
2,1573,21,13,38,9.9,,8.2,0.78,0.307086614
1,452,3.1,0.9,1.8,0.6,,18,1.99898,0.787
0,508,4.9,0.4,1.3,1.3,,18,2.1,0.826771654
,2148,28,13,57,34,,7,0.42,0.165354331
9,410,2.8,1.9,15,14,,3,0.1,0.039370079
7,410,2.8,1.5,15,14,0.5,3,0.0762,0.03
9,393,2.8,1.9,14,12,,3,0.1,0.039370079
4,469,3.5,1.8,17,16,0.5,3,0.0762,0.03
6,562,5.1,3.5,19,15,1,2.5,0.08,0.031496063
7,123,3.5,,19,,0.5,3.8,0.1016,0.04
9,410,2.8,,15,,0.5,3.8,0.127,0.05
3,404,3,2,14,12,,3,0.100076,0.0394
3,1024,12.5,,25.7,,,5.6,,
1,853,9.4,,19.9,,,9.8,,
1,2344,40.5,24.8,34,27.1,12.2,10,0.01,0.003937008
0,931,0.3,,45.2,,,10,,
0,13,0,0.1,0.8,0.1,,0.05,0.01,0.003937008
0,1548,6.8,1.1,61,23,10,11,0,0
0,1586,8.9,1.3,59,23,11,11,0,0
1,81,0.2,0.1,2,1.8,1.7,1.5,0.25,0.098425197
0,119,0.6,0,0.6,0.6,2.2,4.2,0.03,0.011811024
0,1615,41.5,,2.51,,,1.47,,
0,350,4.5,0.8,8.5,6,1.5,1.5,0.2032,0.08
1,1127,23.4,3.23,10.3,9.5,,3,1.9304,0.76
0,1262,30.08,4.8,2.5,2,,3.8,1.0414,0.41
2,1635,22,16,32.2,28,,13.4,1.2,0.472440945
0,1621,14,8.5,62,43,,2.1,0.59,0.232283465
1,1621,13,9,64,42,,2,0.06,0.023622047
2,1399,7.8,5,64,33,,1.1,0.05,0.019685039
0,1017,0.5,0.1,56,54,,1,0.1,0.039370079
1,1013,0.5,0.5,60,58,,0.8,0,0
0,1234,3.6,2,57,51,,7.7,0.35,0.137795276
3,1695,20,14.54,55.1,41.6,,1,1.48,0.582677165
1,1015,0.2,0.2,60,59,,0.6,0.05,0.019685039
0,1016,0.4,0,60,59,,0.8,0,0
1,1123,0,0,60,59,,0.6,0,0
3,1297,16.3,11.7,38.8,33.3,,2,0,0
3,1695,20,14.54,55.1,41.6,,1,1.48,0.582677165
3,1907,28.1,19.8,48.6,43.6,,2.4,0.025,0.00984252
1,1015,0.2,0.2,60,59,,0.6,0.05,0.019685039
1,1127,0.6,0,60,59,,0.8,0,0
1,,,,,60,,,,
0,1062,0,0,57,56,,0.64,0,0
0,1208,0,0,60,59,,1,0,0
2,1176,0,0,60,59,,0.5,0,0
1,1056,0.2,0.03,60,59,,1,0,0
1,1108,0,0,59,58,,0.5,0,0
0,1160,0.4,0,60,59,,0.8,0,0
1,1084,0,0,59,58,,0.8,0,0
1,1080.5,0.44,0.01,60,59,,0.6,0,0
1,1015,0.2,0.2,60,59,,0.6,0.05,0.019685039
0,1231,0,0,59,58,,0.9,0,0
1,1103,0,0,60,59,,0.6,0,0
0,1570,2.4,,73.3,,,13.9,,
1,124,2.4,,2.6,,,0.4,,
0,997,8.8,3.6,29.4,1.9,4.9,7.8,1.397,0.55
0,300,0.3,0.2,15.2,0.1,0.6,1.4,0.9,0.354330709
0,920,8,0.9,27.5,2,5.3,6.8,1.00076,0.394
,849,6.8,0.8,28.2,3.9,5,4.6,0.9906,0.39
0,920,8.1,3.2,27,5,4.7,7.3,1.2,0.472440945
2,616,2.7,0.5,20.2,2.3,3.9,8.3,0.8,0.31496063
2,1489,7.7,4.9,68.1,62.7,0.5,3.2,0.06,0.023622047
1,2549,47.2,35.4,40,35.5,,4.9,0.25,0.098425197
2,1489,7.7,4.9,68.15,62.7,,3.2,0.06,0.023622047
1,2109,24.1,15.9,68.6,32.5,,4.4,0.25908,0.102
3,2114,25,18.2,64.7,25,,5.2,0.9,0.354330709
0,2093,26.1,17.5,63.6,37.7,,5.6,1.524,0.6
3,2053,23.1,15.7,65.1,40.8,,7.5,0.56,0.220472441
3,2095,24.1,16.4,66.7,38.7,,5.8,0.49,0.192913386
4,1970,19.9,13.7,68.6,36.9,,5.4,0.62,0.244094488
1,2089,22.4,16,69,23.8,,5.8,0.39878,0.157
1,2088,22.5,15.2,68.9,23.7,,5.9,0.51,0.200787402
0,2114,22.8,15.9,69.5,25.1,,6.4,0.25,0.098425197
3,2053,23.1,15.7,65.1,40.8,,7.5,0.56,0.220472441
0,399,0.8,0.1,0.8,0.8,0.5,21,0.81,0.318897638
4,198,0,0,11,10.5,0.1,0.2,0,0
2,3925,52,35.5,106,52,3,10,1.30048,0.512
1,1630,3.33,0,76.7,63.3,6.67,16.7,0.737,0.29
0,1550,5,5,80,65,10,5,0.0127,0.005
0,1550,5,5,80,65,10,5,0.0127,0.005
0,1550,5,5,80,65,10,5,0.005,0.00197
0,1480,35,5,85,65,10,5,,
0,545,9,,4.4,,,8.1,,
0,943,16,3,0,0,,20,1.5,0.590551181
0,,,,,,,,19.812,7.8
1,1635,6.8,,14,,,67,,
1,82,0.34,,0.7,,,3.35,,
0,353,2,,73.8,,,,,
1,2268,34,21,49,45,8.3,5.65,0.02,0.007874016
1,2281,38,23,36,31,12.3,9.7,3.00E-05,1.18E-05
1,2265,34,21,49,46,8,6,0.00762,0.003
1,2249,43,27,21,21,14,11,1.30E-05,5.12E-06
1,2238,33,20,49,45,9,6.6,0.02,0.007874016
1,2316,34,17,55,55,2,6,0.2413,0.095
0,1395,11,7,19,1,30,25,0.04826,0.019
1,2280,32,19,57,56,2.1,6.5,0.19,0.07480315
1,2356,39,24,43,40,8.5,6.7,0.02032,0.008
0,404,1,0,16.8,14.3,,4.8,1.05918,0.417
0,724,6.9,1.2,17.6,3,6.5,6.9,0.8,0.31496063
1,2304,38,6.2,41.4,35.7,9.4,7,0.05,0.019685039
0,1592,10.7,1.5,48.8,9.5,18.4,12.9,0.0254,0.01
0,1618,2.3,0.4,79,1.1,4.6,9,0.5,0.196850394
0,160,0.3,0.3,8.3,1.7,0.3,0.3,0.006,0.002362205
0,169,1.3,,5.9,,,1.2,,
0,177,0.1,0,7.7,6,1.9,1.6,0.089916,0.0354
0,1749,25,11,29.3,3.7,11,14,10.9982,4.33
1,791,0.5,0,44,41,1.8,0.6,0.1,0.039370079
1,2318,34.6,5.7,53.8,51.6,3.2,5.8,0.070104,0.0276
0,216,1.7,0.4,6.2,6.1,2.6,1.6,1.17,0.460629921
1,303,1.9,0.3,10.5,3,1.7,2.4,0.75946,0.299
0,247,0,0,5.6,1.4,0.8,8.6,13.8938,5.47
0,230,1.9,,7.7,,,1.7,,
0,130,0.2,0.04,5.3,2.8,1.6,1.1,0.0508,0.02
0,365,1.8,0.5,13.5,4.5,1.8,3.2,1.06,0.417322835
0,283,4.17,1.67,6.67,2.5,0.167,0.833,8.47,3.33
0,1430,23.3,,21.7,,,11.7,,
0,1346,19,8,22.9,12.2,2,14,41.402,16.3
0,120,0.1,0,5.1,4.3,1.2,1.2,0.09,0.035433071
1,400,1.6,0.4,16.4,9.5,1.4,3,0.381,0.15
3,2324,36,24,50,27,5,6,0.2,0.078740157
2,1971,16.9,11.1,69.3,32.5,3.1,8.4,0.8001,0.315
1,1705,4,,85.9,,,5.6,,
1,488,1.8,0.3,15.7,9.8,0.5,3,0.15,0.059055118
0,1527,1.9,0.24,73.8,2.5,4.5,10.9,0.017,0.006692913
0,3378,91.3,15.5,0,0,,0,0,0
0,1478,25.7,,20.3,,,8.5,,
4,784,18,2.1,3.8,3.1,0.5,3.1,0.15,0.059055118
0,2372,40.6,25.9,37.4,29.7,11,8.6,0.0150114,0.00591
1,759,0.3,0,42,39,2.9,0.6,0.0762,0.03
,649,10,0.8,7.3,1.9,4,7.2,5,1.968503937
4,784,17.9,1.6,3.8,3.1,0.5,3.1,0.15,0.059055118
1,421,1.7,0.3,17.8,11.8,0.6,3,0.15,0.059055118
0,169,1,0,7,1.6,0.5,0.5,0.013,0.00511811
1,2030,21,7.8,65,26,4.5,6.6,0.8,0.31496063
0,1471,23.3,,31.8,,,4,,
1,385,1.8,0.3,15.5,9.5,0.5,3,0.15,0.059055118
0,1514,3.5,,66,,,14,,
1,749,0.9,0,40,38,3.2,0.6,0.08001,0.0315
0,1605,2.2,0.4,75.9,2.1,4.7,11.5,0.025,0.00984252
0,1510,2.2,0.5,74.8,0.4,2.8,7.9,0.100076,0.0394
0,3448,91.5,6.4,0,0,,0,0,0
0,386,0.7,0.1,14,9.1,4.9,4.9,0.50038,0.197
0,427,0.7,0.1,15.6,10.3,5.1,5.6,0.635,0.25
0,569.1,4.47,2.36,22,16.5,,3.7,0.056,0.022047244
0,1015,24,17,2.5,2.5,,5,1.2,0.472440945
0,1416,30,,1,,,17,,
0,1433,30,,1,,,18,,
,1351,31,22,3,3,,9,1.3,0.511811024
0,1234,26,,3,,,13,,
0,894,17.5,,2.5,,,12,,
0,335,0.2,0.12,3,2.4,0,16,1.27,0.5
0,894,17.5,12.3,2.5,2.4,,12,3.302,1.3
0,900,17.5,12.3,2.5,2.4,,12,1.3,0.511811024
1,1302,29,20,4.5,4,,9,1.3,0.511811024
1,1314,30,21,3,3,,9,1.5,0.590551181
0,330,0.2,0.12,3,2.4,0,16,1.27,0.5
0,894,17.5,,2.5,,,12,,
0,894,17.5,,2.5,,,12,,
0,330,0.2,0.12,3,2.4,0,16,1.27,0.5
5,886,17.6,6.5,1.7,1.5,,12.1,2.56,1.007874016
8,1266,28.1,10.9,1,0.5,0,12,2.3368,0.92
4,1225,25.8,10.2,1,0.5,,15,2.15,0.846456693
0,671,9,6.4,0.9,0.9,,19,2.75,1.082677165
0,1116,22.9,16.3,0.8,0.8,,15,2.75,1.082677165
,1381,1.1,0.2,70.4,0.7,3.9,9.7,0.002,0.000787402
0,1381,1.1,0.2,70.4,0.7,3.9,9.7,0.0127,0.005
0,1403,1.1,0.2,70.4,0.7,3.9,9.7,0.0127,0.005
2,1583,33,13,0.6,0.5,,16,1.7,0.669291339
1,1831,37,14,1.2,0.7,,26,5.5,2.165354331
2,386,1.2,0.36,4.1,1,,16,2.794,1.1
2,495,3.9,1.1,0.5,0.5,,20.2,2.032,0.8
2,1071,21,7.8,0.7,0.5,,16.6,2.9972,1.18
1,1178,24.5,9.5,1.2,0.1,,14.7,2.10058,0.827
2,495,3.9,1.1,0.5,0.5,,20.2,2.032,0.8
0,1511,34,12,3.9,1.9,,11,1.5,0.590551181
1,1828,36.5,12.1,1.2,0.4,0.9,25.2,4.5,1.771653543
2,621,7.1,3,0.5,0.5,,21,1.4,0.551181102
2,1300,27,11,0.7,0.5,,17,2.2,0.866141732
1,594,8.7,,1,,,15,,
2,544,7,,2.1,,,12.7,,
2,770,10,,10.9,,,12.9,,
0,1645,6.7,4.2,72,68,,5.8,0.1,0.039370079
0,2406,42.4,25.4,35.5,27.7,9.5,9.3,0,0
0,2481,45.1,27,32.4,24.4,9.7,9.5,0,0
0,2562,51.2,30.7,23.5,14.4,10.9,10.6,0,0
6,3,0.5,0.5,0.5,0.5,,0.5,0.01,0.003937008
3,54,0.01,0,3.15,3.15,0,0.1,0.0508,0.02
2,186,0.01,,10.9,,,0.1,,
2,186,0.01,,10.9,,,0.1,,
5,5,0,0,0,0,0,0,0.01016,0.004
1,295,0.3,0,15.5,14.5,2,0.3,0.0254,0.01
1,354,0.3,0.1,19,17,2,0.3,0.01,0.003937008
1,357,0.3,0.1,19,17,2,0.4,0.01,0.003937008
4,329,0.8,0.3,16,13,2.1,0.6,0.01,0.003937008
1,431,0.3,0.1,24,22,1.8,0.3,0.01,0.003937008
1,435,0.3,0.1,24,22,1.9,0.4,0.01,0.003937008
3,424,1.9,1.1,19.5,17,1.9,0.5,0.01,0.003937008
1,435,0.2,0.1,24,22,1.9,0.3,,
1,2356,40.8,,20.4,,,29.4,,
3,814,6,3.9,29,21,,5.2,0.2,0.078740157
0,1506,1.4,0.7,70.5,1.6,6.1,12.1,0.029972,0.0118
0,1456,1.4,0.7,70.5,1.6,6.1,12.1,0.01778,0.007
0,1506,1.4,0.7,70.5,1.6,6.1,12.1,0.3,0.118110236
1,700,4.2,0.7,26.6,0.9,,4.9,0.78,0.307086614
0,1465,1.6,0.7,67.4,2.6,6.2,12.3,1.524,0.6
0,1545,1.7,0.8,70.5,1.6,7.6,13,0.03,0.011811024
0,1506,1.4,0.7,70.5,1.6,6.1,12.1,0.029972,0.0118
0,773,5.3,1.7,29.6,2.2,1.1,3.8,0.7874,0.31
5,659,3.2,0.6,27.2,0.6,,4.3,0.762,0.3
,1456,1.5,0.7,70.5,1.6,6.1,12.1,0.04572,0.018
3,556.5,7,3,0.5,0,,17,1.8288,0.72
2,331,0.4,0.4,19.7,17,0.336,0.4,0.024,0.00945
0,100,0.1,0.01,5.3,1.4,0.9,0.7,0.62,0.244094488
0,424,3.4,1.8,15.5,1.3,0.7,2,0.4826,0.19
0,189,2.9,2.4,3.7,1.6,0.7,0.6,0.33,0.12992126
0,87,0.6,0.5,2.4,1,0.8,0.6,0.2,0.078740157
0,145,0.9,0.5,3.9,1.5,1.8,1.7,0.43,0.169291339
1,884,0.1,0.1,52,52,0,0.6,0.0762,0.03
4,883,9.1,,21.3,,,10.2,,
7,762,8,0.7,14.3,2,0.8,12.8,1.09982,0.433
3,616,10.1,6.9,9.9,2.6,,3.8,0.59944,0.236
0,1055,19,,2.8,,,17.2,1.00076,0.394
0,767,13.4,2.1,12.7,1.9,1.5,2.3,0.5334,0.21
0,1062,19,3.1,2.8,0.6,1.5,17.2,1.016,0.4
0,896,14.1,2.71,2.2,0.2,2.4,18.7,0.53,0.208661417
0,1410,28,20,1,0.5,,21,2.6,1.023622047
5,1439,10.1,6.7,53.8,9.6,1.5,8.1,1.1,0.433070866
1,1022,0.8,0.12,50.3,3.2,,7,1.44,0.566929134
0,138,,,4.8,4.8,0,3.15,0.13,0.051181102
,193,1.55,1,4.8,4.8,,3.15,0.13,0.051181102
0,193,1.55,1,4.8,4.8,,3.15,0.13,0.051181102
0,46,1.6,,4.8,,,3.2,,
0,2257,34,3.1,50,2,,6.4,1.6,0.62992126
1,1986,21.1,,66.8,,,8.6,,
0,2356,37,3.4,50,0.7,,6.1,1.3,0.511811024
0,2257,34,3.1,50,2,,6.4,1.6,0.62992126
3,2257,34,3.1,50,2,,6.4,1.3,0.511811024
1,2268,34,3.1,50,2,,6.4,1.3,0.511811024
0,2257,34,3.1,50,2,5,6.4,1.2954,0.51
0,2257,34,3.1,50,2,,6.4,1.6,0.62992126
0,2268,35,3.2,49,0.5,5.5,5,1.2954,0.51
0,2266,34,3.1,51,0.5,4.9,6,0.9906,0.39
0,2356,37,3.4,50,0.7,,6.1,1.3,0.511811024
0,2266,34,3.1,51,0.5,4.9,6,0.9906,0.39
0,2257,34,3.1,50,2,,6.4,1.3,0.511811024
0,2268,34,3.1,50,2,5,6.4,1.2954,0.51
0,2257,34,3.1,50,2,5,6.4,1.2954,0.51
0,2257,34,3.1,50,2,,6.4,1.30048,0.512
3,2257,34,3.1,50,2,,6.4,1.3,0.511811024
0,2126,32,2.7,43.9,21.2,,5.5,0.62,0.244094488
0,1155,15.1,8.5,19.9,1.2,1.9,14.4,1.4,0.551181102
9,1596,13,1.2,60,40,,4.6,0.55,0.216535433
9,1911,25,5.9,49,37,,7.2,0.4,0.157480315
5,1794,21,7.6,53,33,,5.5,0.68,0.267716535
4,1323,0.7,0.1,72,41.1,2.1,3.3,0.635,0.25
3,684,6.7,2,5.8,2,0.1,19.8,1.24968,0.492
0,1190,4.5,,9.7,,37.3,31.4,,
0,1486,1.6,0.4,70,3,3,12.5,0,0
1,704,14.5,,6.3,,,1,,
2,335,0.1,,18,,,0.3,,
2,2152,28,12,57,26,3.5,7,0.3302,0.13
3,2086,22.2,,68.7,,,5.3,,
,,,,,,,5,,
1,193,0.2,0.04,9.3,9.3,0.2,0.7,0.0508,0.02
0,200,0.1,0,11,10,0.1,0.5,0.0254,0.01
0,1624,0,0,95.5,68,,0,0.02,0.007874016
3,970,0,0,96.9,0.2,0,0,0,0
5,976,0,0,95.3,0.2,,0,0.01,0.003937008
8,1991,18.5,12.3,72.3,65.3,,3.2,0.2,0.078740157
5,1523,0,0,83,56,,0,2.4,0.94488189
8,1586,4.4,4.1,79.4,62.6,0,0.3,1.39954,0.551
6,1379,0.1,0,72.7,64.4,,5,1.03886,0.409
10,1330,0.8,0.1,77.2,69.8,,,0.02,0.007874016
0,2348,35,17,50,4,,7.4,1.7,0.669291339
0,2346,44,13,33,27,,8,0.05,0.019685039
1,2615,50,9,35,25,,8,0.2,0.078740157
0,2606,50,9,36,33,,8,0.05,0.019685039
0,2244,39,24,35,24,,7,0.026,0.01023622
2,185,0,0,10.9,10.9,,0,0.0100076,0.00394
6,0.6,0,0,0,0,,0,0.04,0.015748031
6,1,0,0,0,0,,0,0.01,0.003937008
2,185,0,0,10.9,10.9,,0,0.01,0.003937008
6,2.12,0,0,0,0,0,0,0.00909,0.00358
7,181,0,0,10.6,10.6,,0,0.01,0.003937008
6,2,0,0,0,0,,0,0.01,0.003937008
4,218,0,0,12.8,12.8,,0,0.01,0.003937008
2,120,0,0,7,6.9,,0,0.01,0.003937008
4,224,0,0,11.2,11,0.6,0.5,0,0
2,120,0,0,7,6.9,,0,0.01,0.003937008
3,246,0,0,14.5,14.5,,0,0.02,0.007874016
3,120,0.5,0.5,7,6.9,,0.5,0.0199898,0.00787
0,291,0,0,16.4,16.4,0.6,0.3,0,0
1,204,0,0,10.8,10.4,0.8,0.1,0,0
0,164,0,0,7.6,7.6,0.9,0.5,0,0
0,193,0,0,9.8,9.7,0.6,0.8,0,0
0,199,0,0,9.7,9.7,0.7,0.8,0.1524,0.06
2,120,0,0,7.1,6.9,0,0,0.0127,0.005
2,233,0,0,10.8,10.5,4.5,0.3,0,0
3,210,0,0,10.6,10.4,0.9,0.5,0,0
3,274,0,0,14.9,14.7,1.1,0.2,0,0
2,185,0,0,10.9,10.9,,0,0.01,0.003937008
0,196,0,0,10.6,10.2,0.3,0.4,0,0
3,165,0,0,10.2,10.2,0,0,0.254,0.1
6,6,0,0,0.5,0.5,,0,0.03,0.011811024
4,82,0,0,4.6,4.5,,0,0.070104,0.0276
3,172,0,0,10.2,10.2,,0,0.01,0.003937008
,126,,,,,,,,
0,207,0,0,10.6,10.4,1,0.4,0,0
0,243,0,0,13.1,12.6,1.3,0.3,0,0
5,128,0,0,7.5,7.4,,0,0,0
5,128,0,0,7.5,7.4,,0,0,0
5,195,0,0,11.6,11.2,,0,0,0
0,197,0,0,10.9,10.5,0.6,0.1,0,0
1,197,0,0,11.2,10.5,0.6,0.1,0,0
0,204,0,0,10,10,0.7,0.8,0,0
2,120,0,0,7.1,6.9,,0,0.0100076,0.00394
2,120,0,0,7,6.9,,0,0.0100076,0.00394
0,197,0,0,10.9,10.5,0.6,0.1,0,0
3,84,0,0,4.8,4.4,,0,0.044,0.0173
5,80,0,0,4.5,4.4,0,0,0.039878,0.0157
0,188,0,0,9.6,9.4,1.2,0.2,0,0
0,209,0,0,11,10.9,1.2,0.3,0,0
0,206,0,0,11,10.7,1.3,0.2,0,0
4,190,0,0,11.2,11.2,0,0,0.039878,0.0157
4,190,0,0,11.2,11.2,0,,0.04,0.0157
6,2,0,0,0.5,0,,0,0.01,0.003937008
3,173,0,0,10.2,10.2,0,0,0.01,0.003937008
2,185,0,0,10.9,10.9,,0,0.01,0.003937008
0,201,0,0,10,10,0.4,0.8,0,0
1,188,0,0,10.5,9.7,0.1,0.2,0,0
,201,0,0,10,10,0.4,0.8,0,0
4,81,0,0,4.6,4.5,,0,0.0199898,0.00787
3,82,0,0,4.6,4.5,,0,0.03,0.011811024
2,120,0,0,7,6.9,,0,0.01,0.003937008
0,228,0,0,12.5,12.1,0.7,0.3,0,0
0,243,0,0,12.9,12.7,1,0.4,0,0
3,177,0,0,10,10,,0,0.03,0.011811024
2,120,0,0,7,6.9,,0,0.01,0.003937008
2,948,0.3,0.1,49.6,25.7,6.5,2.4,0.055372,0.0218
0,1207,0.6,0.3,65.7,61.6,3.1,2.4,0.068834,0.0271
0,980,0.3,0.2,54.9,38.2,6.5,1.9,0.001016,0.0004
0,980,0.3,0.2,54.9,38.2,6.5,1.9,0.001016,0.0004
0,1059,0.4,0.2,55,37,6.6,1.4,0,0
1,2883,68,58,10,7.7,,7.7,0.1,0.039370079
0,2141,26.3,3.4,50.2,47.2,5.9,15.7,0.1,0.039370079
,2570,48.8,9.8,20,8,,22.6,0.1,0.039370079
0,1008,0.5,0.2,53.1,37.6,8.3,2,0.0148,0.005826772
0,1241,2.6,0.3,58,52,12,3.3,0.2,0.078740157
0,1523,4.7,0.6,62,1.2,11.2,12.9,0.1,0.039370079
1,1238,0.2,0.1,67.4,55.9,7.3,2.4,0,0
1,1283,0.5,0.2,61,33,,2.5,0,0
0,602,10.3,,0.7,,,12.3,,
0,185,0.5,0.1,9,9,,1,0,0
0,174,0.2,0.1,9.1,9.1,,0.5,0,0
0,185,0.5,0.1,9,9,,1,0,0
0,277,0.1,,15.6,0.5,,,0,0
1,213,0.2,0.1,11.8,11.7,,0.5,0,0
1,221,0.2,0.1,12.1,12.1,,0.5,0,0
1,218,0.2,0.1,11.8,11.6,,0.5,0,0
3,187,0.2,0.1,10,10,0.5,0.5,0.0127,0.005
0,,,,,62,,,,
1,,,,,62,,,,
1,,,,,62,,,,
1,,,,,62,,,,
7,360,5,1,5,1.8,1.3,5,0.4064,0.16
